Date,Correr,Bici,Natación,,,,,,Year Totals
22-May-21,2.67,32.72,0,,,,,,
23-May-21,0,0,0,,,,,,
24-May-21,0,21,0,,,,,,
25-May-21,7.02,0,2100,,,,,,
26-May-21,2.4,18.1,0,,,,,,
27-May-21,0,0,3000,,,,,,
28-May-21,2.38,36.2,0,,,,,,
29-May-21,9,0,0,,,,,,
30-May-21,0,0,0,,,,,,
31-May-21,6,0,2459,,,,,,
1-Jun-21,1.28,19.07,0,,,,,,
2-Jun-21,0,12.88,0,,,Totals,,,
3-Jun-21,0,0,0,,Correr ,77.25,,,
4-Jun-21,1.79,4.15,0,,Bici,346.16,,,
5-Jun-21,6.21,24.35,1670,,Natación,9.9261,,,
6-Jun-21,0,0,0,,,,,,
7-Jun-21,0,14.8,0,,,,,,
8-Jun-21,6.04,0,1600,,,,,,
9-Jun-21,0,0,2600,,,,,,
10-Jun-21,9.01,0,0,,,,,,
11-Jun-21,0,5,0,,,,,,
12-Jun-21,3,0,0,,,,,,
13-Jun-21,0,0,0,,,,,,
14-Jun-21,0,7.63,2200,,,,,,
15-Jun-21,2.57,17.76,0,,,,,,
16-Jun-21,0,0,0,,,,,,
17-Jun-21,0,32.84,2400,,,,,,
18-Jun-21,12.22,0,0,,,,,,
19-Jun-21,2.5,31.18,0,,,,,,
20-Jun-21,0,0,0,,,,,,
21-Jun-21,2.4,26.44,0,,,,,,
22-Jun-21,8.01,0,2800,,,,,,
23-Jun-21,0,31.2,0,,,,,,
24-Jun-21,0,36.01,3000,,,,,,
25-Jun-21,10.59,0,0,,,,,,
26-Jun-21,4.02,44.24,0,,,,,,
27-Jun-21,0,0,0,,,,,,
28-Jun-21,0,7.24,1200,,,,,,
29-Jun-21,7.61,0,0,,,,,,
30-Jun-21,0,31.37,0,,,,,,
1-Jul-21,0,35.72,3500,,,,,,
2-Jul-21,9.08,0,2000,,,Totals,,,
3-Jul-21,3.46,37,0,,Correr ,101.86,,,
4-Jul-21,0,0,0,,Bici,506.62,,,
5-Jul-21,0,29.17,1400,,Natación,16.0989,,,
6-Jul-21,8.25,8.39,2800,,,,,,
7-Jul-21,0,23.07,1850,,,,,,
8-Jul-21,3.61,21.13,0,,,,,,
9-Jul-21,0,0,0,,,,,,
10-Jul-21,0,0,0,,,,,,
11-Jul-21,11,0,0,,,,,,
12-Jul-21,0,0,2400,,,,,,
13-Jul-21,8.05,4.43,0,,,,,,
14-Jul-21,0,35.61,0,,,,,,
15-Jul-21,0,19.17,3400,,,,,,
16-Jul-21,2.77,73.38,0,,,,,,
17-Jul-21,11.33,0,0,,,,,,
18-Jul-21,0,0,0,,,,,,
19-Jul-21,0,21.33,0,,,,,,
20-Jul-21,9.13,0,2500,,,,,,
21-Jul-21,2.51,24.8,0,,,,,,
22-Jul-21,0,14.03,3700,,,,,,
23-Jul-21,3.02,84.08,0,,,,,,
24-Jul-21,12.34,0,434,,,,,,
25-Jul-21,0,0,0,,,,,,
26-Jul-21,0,21.15,2350,,,,,,
27-Jul-21,6.93,7.73,0,,,,,,
28-Jul-21,0,0,2000,,,,,,
29-Jul-21,0,34.02,0,,,,,,
30-Jul-21,10.38,0,0,,,,,,
31-Jul-21,0,12.41,0,,,,,,
1-Aug-21,0,46.31,0,,,,,,
2-Aug-21,0,0,1600,,,Totals,,,
3-Aug-21,5.85,5.24,0,,Correr ,112.43,,,
4-Aug-21,0,23.51,0,,Bici,587.73,,,
5-Aug-21,0,0,0,,Natación,12.6403,,,
6-Aug-21,1.68,8.47,0,,,,,,
7-Aug-21,13.32,65.68,0,,,,,,
8-Aug-21,0,0,0,,,,,,
9-Aug-21,4.43,0,0,,,,,,
10-Aug-21,0,27.34,3000,,,,,,
11-Aug-21,2.26,30.82,0,,,,,,
12-Aug-21,0,0,4000,,,,,,
13-Aug-21,3.76,102.7,0,,,,,,
14-Aug-21,15.02,0,0,,,,,,
15-Aug-21,0,0,0,,,,,,
16-Aug-21,2.5,25.41,0,,,,,,
17-Aug-21,7.83,0,0,,,,,,
18-Aug-21,0,0,3280,,,,,,
19-Aug-21,0,28.34,0,,,,,,
20-Aug-21,0,0,0,,,,,,
21-Aug-21,6.11,66.15,1667,,,,,,
22-Aug-21,15.88,0,0,,,,,,
23-Aug-21,0,0,0,,,,,,
24-Aug-21,6.69,7.83,2200,,,,,,
25-Aug-21,0,24.82,0,,,,,,
26-Aug-21,3,93.78,0,,,,,,
27-Aug-21,0,12.05,4000,,,,,,
28-Aug-21,15.69,0,0,,,,,,
29-Aug-21,0,0,0,,,,,,
30-Aug-21,8.41,0,0,,,,,,
31-Aug-21,0,19.28,2500,,,,,,
1-Sep-21,4.21,26.68,0,,,,,,
2-Sep-21,0,0,3550,,,Totals,,,
3-Sep-21,2.71,63.16,0,,Correr ,79.82,,,
4-Sep-21,12.8,0,0,,Bici,362.35,,,
5-Sep-21,0,0,0,,Natación,11.6614,,,
6-Sep-21,6.26,0,2400,,,,,,
7-Sep-21,0,22.74,0,,,,,,
8-Sep-21,2.75,22.63,0,,,,,,
9-Sep-21,0,0,3850,,,,,,
10-Sep-21,2.03,42.37,0,,,,,,
11-Sep-21,7.65,0,0,,,,,,
12-Sep-21,0,0,0,,,,,,
13-Sep-21,4.35,0,1800,,,,,,
14-Sep-21,0,13.19,0,,,,,,
15-Sep-21,0,15.14,0,,,,,,
16-Sep-21,0,0,0,,,,,,
17-Sep-21,1.26,0,0,,,,,,
18-Sep-21,26.2,112,4224,,,,,,
19-Sep-21,0,0,0,,,,,,
20-Sep-21,0,0,0,,,,,,
21-Sep-21,0,0,1100,,,,,,
22-Sep-21,0,14.77,0,,,,,,
23-Sep-21,0,0,1800,,,,,,
24-Sep-21,2.51,0,0,,,,,,
25-Sep-21,0,14.84,0,,,,,,
26-Sep-21,0,0,0,,,,,,
27-Sep-21,0,0,1800,,,,,,
28-Sep-21,3.78,0,0,,,,,,
29-Sep-21,0,14.83,0,,,,,,
30-Sep-21,3.31,0,0,,,,,,
1-Oct-21,0,0,2050,,,,,,
2-Oct-21,3.06,0,0,,,Totals,,,
3-Oct-21,0,30.71,0,,Correr ,50.85,,,
4-Oct-21,4.81,0,0,,Bici,301.24,,,
5-Oct-21,1.25,19.01,0,,Natación,8.1528,,,
6-Oct-21,0,14.85,0,,,,,,
7-Oct-21,0,0,0,,,,,,
8-Oct-21,1.87,6.26,0,,,,,,
9-Oct-21,6.85,23.65,1699,,,,,,
10-Oct-21,0,0,0,,,,,,
11-Oct-21,0,18.9,0,,,,,,
12-Oct-21,0,7.98,1800,,,,,,
13-Oct-21,2.12,19.7,0,,,,,,
14-Oct-21,0,7.7,2200,,,,,,
15-Oct-21,0,0,0,,,,,,
16-Oct-21,8.39,9.94,0,,,,,,
17-Oct-21,0,33.05,0,,,,,,
18-Oct-21,0,3,0,,,,,,
19-Oct-21,3.5,0,2200,,,,,,
20-Oct-21,0,14.72,0,,,,,,
21-Oct-21,0,0,2200,,,,,,
22-Oct-21,5.87,0,0,,,,,,
23-Oct-21,0,11.57,0,,,,,,
24-Oct-21,0,30.77,0,,,,,,
25-Oct-21,0,0,2200,,,,,,
26-Oct-21,0,18.93,0,,,,,,
27-Oct-21,2.09,30.5,0,,,,,,
28-Oct-21,0,0,0,,,,,,
29-Oct-21,0,0,0,,,,,,
30-Oct-21,11.04,0,0,,,,,,
31-Oct-21,0,0,0,,,,,,
1-Nov-21,0,7.48,2500,,,,,,
2-Nov-21,6.55,0,0,,,Totals,,,
3-Nov-21,0,20.39,0,,Correr ,69.42,,,
4-Nov-21,9.15,7.53,3000,,Bici,185.87,,,
5-Nov-21,0,22.53,0,,Natación,15.5114,,,
6-Nov-21,4.3,0,0,,,,,,
7-Nov-21,0,33,0,,,,,,
8-Nov-21,0,7.56,2500,,,,,,
9-Nov-21,4.49,0,0,,,,,,
10-Nov-21,0,0,0,,,,,,
11-Nov-21,4.5,0,0,,,,,,
12-Nov-21,0,0,0,,,,,,
13-Nov-21,13.57,0,0,,,,,,
14-Nov-21,0,0,0,,,,,,
15-Nov-21,0,7.42,2700,,,,,,
16-Nov-21,4,3.84,0,,,,,,
17-Nov-21,0,17.16,0,,,,,,
18-Nov-21,8,0,0,,,,,,
19-Nov-21,0,0,0,,,,,,
20-Nov-21,9.77,0,0,,,,,,
21-Nov-21,0,0,0,,,,,,
22-Nov-21,0,0,3950,,,,,,
23-Nov-21,0,0,0,,,,,,
24-Nov-21,0,0,4050,,,,,,
25-Nov-21,0,18.1,0,,,,,,
26-Nov-21,0,0,3000,,,,,,
27-Nov-21,0,40.86,0,,,,,,
28-Nov-21,0,0,0,,,,,,
29-Nov-21,0,0,3600,,,,,,
30-Nov-21,5.09,0,2000,,,,,,
1-Dec-21,0,0,1400,,,,,,
2-Dec-21,9,0,0,,,Totals,,,
3-Dec-21,0,15.18,0,,Correr ,69.68,,,
4-Dec-21,6,0,0,,Bici,143.36,,,
5-Dec-21,0,0,0,,Natación,14.4318,,,
6-Dec-21,0,7.55,3050,,,,,,
7-Dec-21,5.17,0,0,,,,,,
8-Dec-21,0,0,3000,,,,,,
9-Dec-21,0,14.88,0,,,,,,
10-Dec-21,0,0,4050,,,,,,
11-Dec-21,2.44,21.1,0,,,,,,
12-Dec-21,0,11.74,0,,,,,,
13-Dec-21,0,0,3000,,,,,,
14-Dec-21,3.11,0,0,,,,,,
15-Dec-21,6.12,0,3000,,,,,,
16-Dec-21,1.09,0,1900,,,,,,
17-Dec-21,0,8,0,,,,,,
18-Dec-21,6.03,0,0,,,,,,
19-Dec-21,0,0,0,,,,,,
20-Dec-21,0,8.06,0,,,,,,
21-Dec-21,3,0,0,,,,,,
22-Dec-21,4.1,0,0,,,,,,
23-Dec-21,3.25,25.54,0,,,,,,
24-Dec-21,0,12.27,0,,,,,,
25-Dec-21,9.04,0,0,,,,,,
26-Dec-21,0,0,0,,,,,,
27-Dec-21,3,0,0,,,,,,
28-Dec-21,5,0,3000,,,,,,
29-Dec-21,3.33,19.04,0,,,,,,
30-Dec-21,0,0,3000,,,,,,
31-Dec-21,0,0,0,,,,,,
